gid,p_val,Dpi_3,gname
ENSG00000147535,0.0060195536391036,10.518065392971039,PLPP5
ENSG00000140416,0.0,10.236317753791809,TPM1
ENSG00000003402,7.338098309376068e-15,30.909090042114258,CFLAR
ENSG00000138674,1.0133610241774388e-14,16.04123318195343,SEC31A
ENSG00000114993,3.1547091758236765e-14,11.184208631515475,RTKN
ENSG00000088448,4.235452739270952e-06,14.285706520080566,ANKRD10
ENSG00000168958,6.781744024797476e-10,14.646073192358017,MFF
ENSG00000103024,0.0031530013062408,10.660979986190796,NME3
ENSG00000122786,3.2685005838429004e-36,16.483512222766848,CALD1
ENSG00000148180,0.0,12.946901679039001,GSN
ENSG00000125354,0.0005750521057127,10.204075813293457,SEPT6
ENSG00000138621,0.0007916599038848,13.793102979660034,PPCDC
